Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2025-03-06,28-133,ATL,,IND,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2025-03-04,28-131,ATL,,MIL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,44.0,2025-03-03,28-130,ATL,@,MEM,W (+2),0,13:49,.854,.917,0.0,19.9,9.3,8.5,0.0,11.6,0.0,19.4,167,131,9.5,12.7
4,,2025-02-28,28-127,ATL,,OKC,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2025-02-26,28-125,ATL,@,MIA,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2025-02-24,28-123,ATL,,MIA,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2025-02-23,28-122,ATL,,DET,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2025-02-20,28-119,ATL,,ORL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2025-02-12,28-111,ATL,@,NYK,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2025-02-10,28-109,ATL,@,ORL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2025-02-08,28-107,ATL,@,WAS,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,43.0,2025-02-07,28-106,ATL,,MIL,W (+5),0,5:50,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,100,119,1.0,-9.4
13,42.0,2025-02-05,28-104,ATL,,SAS,L (-1),0,7:11,.000,.000,0.0,13.9,7.8,13.9,0.0,0.0,25.0,22.5,19,122,-2.1,-25.7
14,41.0,2025-02-03,28-102,ATL,@,DET,W (+2),0,11:35,.237,.000,0.0,39.5,21.3,0.0,4.0,0.0,0.0,23.3,53,117,0.5,-20.1
15,40.0,2025-02-01,28-100,ATL,@,IND,L (-5),0,19:01,.916,.900,0.0,18.9,8.9,0.0,0.0,0.0,20.7,20.8,133,130,8.6,-0.8
16,39.0,2025-01-30,28-098,ATL,@,CLE,L (-22),0,17:23,.600,.600,5.6,30.7,16.2,0.0,0.0,0.0,0.0,12.2,123,139,4.8,-3.7
17,38.0,2025-01-28,28-096,ATL,,HOU,L (-4),0,12:01,.250,.250,8.5,0.0,4.8,0.0,0.0,0.0,0.0,21.0,63,108,-0.5,-11.8
18,37.0,2025-01-27,28-095,ATL,@,MIN,L (-8),0,25:31,.750,.750,0.0,3.7,1.8,6.2,1.9,4.1,33.3,9.7,90,103,3.9,-1.4
19,36.0,2025-01-25,28-093,ATL,,TOR,L (-23),0,25:03,.300,.300,0.0,17.4,8.2,12.3,1.7,0.0,28.6,11.3,53,109,0.7,-10.6
20,35.0,2025-01-23,28-091,ATL,,TOR,L (-3),0,11:19,.000,.000,0.0,38.6,17.0,10.1,0.0,0.0,0.0,11.0,24,120,-1.3,-18.1
21,34.0,2025-01-22,28-090,ATL,,DET,L (-10),0,9:35,.752,.750,0.0,25.7,10.2,0.0,0.0,0.0,0.0,20.7,147,113,5.8,10.0
22,33.0,2025-01-20,28-088,ATL,@,NYK,L (-9),0,12:23,.431,.000,0.0,0.0,0.0,29.1,3.9,0.0,0.0,7.6,146,120,3.6,3.8
23,32.0,2025-01-18,28-086,ATL,@,BOS,W (+4),0,14:28,.258,.000,0.0,6.2,3.4,8.3,6.8,0.0,0.0,11.5,77,101,2.5,-2.4
24,31.0,2025-01-15,28-083,ATL,@,CHI,W (+16),0,21:44,.180,.000,0.0,4.9,2.1,10.8,0.0,0.0,0.0,15.2,57,99,-0.6,-15.0
25,30.0,2025-01-14,28-082,ATL,,PHO,W (+5),0,26:39,.839,.850,3.5,9.0,5.9,5.6,0.0,0.0,8.1,18.0,161,122,13.0,4.2
26,29.0,2025-01-09,28-077,ATL,@,PHO,L (-8),0,10:56,.750,.750,0.0,0.0,0.0,13.2,0.0,0.0,0.0,16.8,145,140,4.3,0.4
27,28.0,2025-01-07,28-075,ATL,@,UTA,W (+3),0,18:39,.346,.346,11.2,22.9,17.0,7.0,5.0,5.4,7.1,31.4,80,106,6.5,-7.5
28,27.0,2025-01-04,28-072,ATL,@,LAC,L (-26),0,25:36,.663,.600,7.7,26.8,16.5,18.4,1.7,0.0,26.1,24.2,102,119,11.1,0.0
29,26.0,2025-01-03,28-071,ATL,@,LAL,L (-17),0,14:56,.000,.000,0.0,0.0,0.0,0.0,0.0,5.5,0.0,11.1,0,128,-2.5,-17.1
30,25.0,2025-01-01,28-069,ATL,@,DEN,L (-19),1,28:33,.533,.563,3.3,18.7,9.7,13.2,0.0,2.6,19.2,14.2,96,130,6.1,-8.4
31,24.0,2024-12-29,28-066,ATL,@,TOR,W (+29),0,22:58,.473,.333,0.0,10.2,4.5,30.0,0.0,6.9,0.0,19.4,129,107,10.1,0.6
32,23.0,2024-12-28,28-065,ATL,,MIA,W (+10),0,27:12,.882,.875,0.0,7.7,4.0,10.0,1.8,0.0,8.9,18.2,152,115,14.8,6.6
33,22.0,2024-12-26,28-063,ATL,,CHI,W (+8),0,18:36,.317,.214,13.2,6.3,9.7,0.0,2.5,4.7,11.3,19.4,83,125,2.5,-13.4
34,21.0,2024-12-23,28-060,ATL,,MIN,W (+13),0,25:57,1.225,1.313,0.0,7.7,4.6,7.1,3.7,3.9,8.9,19.3,192,106,24.0,23.5
35,20.0,2024-12-21,28-058,ATL,,MEM,L (-16),0,6:03,1.000,1.000,0.0,18.5,9.8,0.0,0.0,0.0,25.0,27.5,104,123,4.0,8.6
36,,2024-12-19,28-056,ATL,@,SAS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,,2024-12-14,28-051,ATL,@,MIL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,,2024-12-11,28-048,ATL,@,NYK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,19.0,2024-12-08,28-045,ATL,,DEN,L (-30),0,20:50,.205,.000,0.0,14.0,5.2,5.6,0.0,0.0,0.0,9.0,66,136,-1.1,-16.3
40,,2024-12-06,28-043,ATL,,LAL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,,2024-12-04,28-041,ATL,@,MIL,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,,2024-12-02,28-039,ATL,,NOP,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,18.0,2024-11-30,28-037,ATL,@,CHO,W (+3),0,13:00,.463,.500,0.0,7.0,3.9,0.0,3.9,0.0,41.0,24.2,51,109,-1.0,-18.0
44,17.0,2024-11-29,28-036,ATL,,CLE,W (+16),0,0:51,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,0.0,-6.3
45,,2024-11-27,28-034,ATL,@,CLE,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,,2024-11-25,28-032,ATL,,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,16.0,2024-11-22,28-029,ATL,@,CHI,L (-14),0,0:46,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,134,0.0,-12.9
48,15.0,2024-11-20,28-027,ATL,@,GSW,L (-23),0,4:17,.500,.500,0.0,21.1,9.4,47.1,0.0,0.0,0.0,25.4,120,112,2.3,11.0
49,14.0,2024-11-18,28-025,ATL,@,SAC,W (+1),1,28:29,.750,.750,0.0,4.2,2.1,19.9,3.4,0.0,0.0,9.6,150,111,10.3,4.8
50,13.0,2024-11-17,28-024,ATL,@,POR,L (-4),0,10:41,.600,.600,0.0,9.2,5.2,0.0,0.0,0.0,0.0,18.3,134,119,3.6,0.2
51,12.0,2024-11-15,28-022,ATL,,WAS,W (+12),0,12:24,.773,.667,0.0,0.0,0.0,22.5,0.0,6.1,0.0,23.6,170,112,10.7,13.8
52,11.0,2024-11-12,28-019,ATL,@,BOS,W (+1),0,23:13,.258,.000,0.0,6.7,2.7,20.7,2.1,0.0,34.0,10.1,82,123,1.9,-8.2
53,10.0,2024-11-09,28-016,ATL,,CHI,L (-12),0,18:34,.592,.500,0.0,6.2,3.0,0.0,2.5,0.0,0.0,15.0,124,122,5.8,-3.0
54,9.0,2024-11-08,28-015,ATL,@,DET,L (-1),0,27:21,.633,.500,3.6,4.4,3.9,4.3,1.6,0.0,0.0,8.9,150,120,8.0,-2.4
55,8.0,2024-11-06,28-013,ATL,,NYK,W (+5),0,19:49,.712,.600,4.8,12.4,8.2,12.1,2.5,0.0,0.0,13.0,167,121,9.6,4.1
56,7.0,2024-11-04,28-011,ATL,,BOS,L (-30),0,26:02,.919,1.000,0.0,0.0,0.0,12.4,0.0,4.2,0.0,8.6,173,124,9.4,4.0
57,6.0,2024-11-03,28-010,ATL,@,NOP,W (+15),0,20:16,.698,.643,0.0,14.5,8.5,5.5,0.0,0.0,20.2,21.4,115,119,5.3,-7.5
58,5.0,2024-11-01,28-008,ATL,,SAC,L (-8),0,29:36,.767,.767,0.0,3.9,1.8,11.6,3.1,2.9,0.0,21.5,139,117,18.9,12.5
59,4.0,2024-10-30,28-006,ATL,@,WAS,L (-13),0,23:10,.600,.600,0.0,5.9,2.7,10.1,3.9,0.0,0.0,8.5,138,123,5.4,-2.8
