Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,56.0,2025-03-06,19-332,ATL,,IND,W (+6),1,24:55,.611,.611,9.0,9.2,9.1,9.1,0.0,3.7,18.2,19.1,111,124,8.0,-0.6
2,55.0,2025-03-04,19-330,ATL,,MIL,L (-6),1,24:59,.335,.350,0.0,17.1,7.8,0.0,0.0,0.0,0.0,16.6,68,122,1.6,-13.3
3,54.0,2025-03-03,19-329,ATL,@,MEM,W (+2),1,32:05,1.038,1.038,3.7,0.0,2.0,0.0,6.0,2.5,13.3,19.4,161,128,24.9,14.3
4,53.0,2025-02-28,19-326,ATL,,OKC,L (-16),1,31:49,.510,.500,3.4,26.8,15.3,8.2,0.0,0.0,37.3,24.2,69,130,1.7,-13.7
5,52.0,2025-02-26,19-324,ATL,@,MIA,L (-22),1,25:38,.799,.833,0.0,17.6,8.3,16.8,0.0,0.0,22.5,15.6,122,143,7.8,-2.3
6,51.0,2025-02-24,19-322,ATL,,MIA,W (+12),1,26:27,.125,.125,8.2,3.6,5.7,4.8,0.0,0.0,11.1,14.7,46,103,-2.2,-14.6
7,50.0,2025-02-23,19-321,ATL,,DET,L (-5),1,31:16,.779,.700,0.0,26.3,12.0,11.4,2.7,5.8,0.0,15.0,168,124,21.3,10.0
8,49.0,2025-02-20,19-318,ATL,,ORL,L (-6),1,23:34,.367,.367,17.6,31.0,23.5,6.6,2.0,3.4,6.3,26.9,91,108,8.7,1.0
9,48.0,2025-02-12,19-310,ATL,@,NYK,L (-1),1,30:03,.673,.636,0.0,9.8,4.1,4.0,1.5,2.6,7.8,16.3,130,130,11.9,-2.2
10,47.0,2025-02-10,19-308,ATL,@,ORL,W (+6),1,17:52,.709,.583,7.7,6.7,7.2,35.9,2.7,0.0,0.0,19.6,162,109,12.4,13.0
11,46.0,2025-02-08,19-306,ATL,@,WAS,W (+14),1,23:54,.750,.750,0.0,4.3,2.1,6.5,0.0,0.0,0.0,20.7,139,114,13.4,2.7
12,45.0,2025-02-07,19-305,ATL,,MIL,W (+5),1,20:29,.650,.650,5.0,9.8,7.4,0.0,0.0,0.0,9.1,23.2,113,117,7.5,-5.2
13,44.0,2025-02-05,19-303,ATL,,SAS,L (-1),1,23:16,.375,.375,0.0,4.3,2.4,0.0,0.0,0.0,0.0,13.9,77,124,0.7,-13.7
14,43.0,2025-02-03,19-301,ATL,@,DET,W (+2),1,25:40,.730,.667,0.0,13.4,7.2,11.5,1.8,0.0,0.0,19.4,151,127,15.2,4.4
15,42.0,2025-02-01,19-299,ATL,@,IND,L (-5),1,29:01,.666,.682,14.7,4.1,9.7,9.4,0.0,0.0,0.0,18.0,147,132,15.4,3.5
16,41.0,2025-01-30,19-297,ATL,@,CLE,L (-22),1,25:26,.901,.964,0.0,5.2,2.2,9.3,3.8,0.0,0.0,27.8,166,135,26.0,21.8
17,,2025-01-28,19-295,ATL,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,40.0,2025-01-27,19-294,ATL,@,MIN,L (-8),1,20:17,.396,.385,13.9,18.6,16.2,28.9,4.7,0.0,12.6,32.4,88,93,8.5,4.5
19,,2025-01-25,19-292,ATL,,TOR,L (-23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,,2025-01-23,19-290,ATL,,TOR,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,2025-01-22,19-289,ATL,,DET,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2025-01-20,19-287,ATL,@,NYK,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2025-01-18,19-285,ATL,@,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
