Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
33,,2024-12-27,28-070,LAC,,GSW,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2024-12-23,28-066,LAC,@,MEM,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2024-12-21,28-064,LAC,@,DAL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2024-12-19,28-062,LAC,@,DAL,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2024-12-16,28-059,LAC,,UTA,W (+37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2024-12-13,28-056,LAC,@,DEN,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2024-12-08,28-051,LAC,,HOU,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2024-12-04,28-047,LAC,,MIN,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,23.0,2024-12-03,28-046,LAC,,POR,W (+22),0,13:24,.625,.625,0.0,0.0,0.0,0.0,0.0,7.0,20.0,16.8,100,121,2.7,-5.7
42,22.0,2024-12-01,28-044,LAC,,DEN,W (+4),0,24:56,.952,1.000,8.8,5.2,7.1,6.1,0.0,0.0,11.3,14.8,163,127,12.7,4.5
43,21.0,2024-11-29,28-042,LAC,@,MIN,L (-1),0,19:52,.200,.200,0.0,0.0,0.0,7.2,7.7,0.0,0.0,11.5,53,95,1.8,-3.9
44,20.0,2024-11-27,28-040,LAC,@,WAS,W (+25),0,24:46,.475,.400,4.6,0.0,2.2,18.9,7.7,0.0,0.0,10.6,135,92,10.0,4.8
45,19.0,2024-11-25,28-038,LAC,@,BOS,L (-32),0,23:23,.455,.455,12.6,14.7,13.5,13.3,2.1,0.0,0.0,20.6,110,128,8.5,1.2
46,18.0,2024-11-24,28-037,LAC,@,PHI,W (+26),0,22:02,.838,.917,0.0,4.6,2.8,6.0,2.3,0.0,11.4,17.5,142,108,9.8,1.8
47,17.0,2024-11-22,28-035,LAC,,SAC,W (+16),0,17:59,.833,.833,0.0,5.2,2.6,15.9,8.1,0.0,0.0,7.1,170,81,7.6,11.5
48,16.0,2024-11-20,28-033,LAC,,ORL,W (+11),0,15:21,.000,.000,0.0,0.0,0.0,8.2,3.3,0.0,50.0,11.2,18,97,-2.1,-11.2
49,15.0,2024-11-18,28-031,LAC,,GSW,W (+3),0,22:49,.500,.500,5.1,17.5,11.8,47.5,4.1,0.0,0.0,19.1,122,93,11.9,9.9
50,14.0,2024-11-17,28-030,LAC,,UTA,W (+11),0,13:39,.583,.583,0.0,19.5,8.6,9.9,0.0,9.0,0.0,19.1,126,112,5.6,1.1
51,13.0,2024-11-15,28-028,LAC,@,HOU,L (-21),0,12:31,.250,.250,0.0,32.6,15.5,0.0,0.0,0.0,0.0,12.8,57,121,0.0,-12.3
52,12.0,2024-11-13,28-026,LAC,@,HOU,L (-8),0,23:30,.709,.667,4.0,24.5,14.2,22.1,4.1,7.2,16.8,21.1,121,99,15.7,14.7
53,11.0,2024-11-11,28-024,LAC,@,OKC,L (-6),1,17:41,.515,.500,15.5,13.2,14.3,0.0,0.0,0.0,34.0,13.7,86,138,1.9,-8.2
54,10.0,2024-11-09,28-022,LAC,,TOR,W (+2),1,28:30,.400,.400,8.6,9.7,9.3,0.0,0.0,2.9,0.0,8.1,103,109,2.7,-6.6
55,9.0,2024-11-08,28-021,LAC,@,SAC,W (+9),1,22:12,.205,.000,5.1,21.1,13.0,18.0,0.0,0.0,0.0,9.4,95,105,2.4,-3.7
56,8.0,2024-11-06,28-019,LAC,,PHI,W (+12),1,20:41,.583,.583,7.7,7.5,7.6,13.6,2.6,0.0,0.0,14.0,140,111,6.6,0.6
57,7.0,2024-11-04,28-017,LAC,,SAS,W (+9),1,19:20,.625,.625,0.0,12.4,5.6,6.9,0.0,0.0,0.0,9.2,142,119,3.9,-3.3
58,6.0,2024-11-02,28-015,LAC,,OKC,L (-13),1,24:33,.637,.417,8.1,18.2,12.9,13.9,1.9,0.0,10.4,16.8,132,108,10.8,4.7
59,5.0,2024-10-31,28-013,LAC,,PHO,L (-6),1,31:11,.500,.500,10.0,3.8,7.1,7.9,1.6,0.0,0.0,10.6,132,133,7.6,-5.1
60,4.0,2024-10-30,28-012,LAC,,POR,L (-1),1,19:20,.400,.400,15.5,5.2,10.3,20.7,0.0,0.0,16.7,13.3,108,119,3.2,-7.3
61,3.0,2024-10-27,28-009,LAC,@,GSW,W (+8),1,18:19,.200,.200,0.0,5.5,2.8,0.0,2.6,0.0,16.7,13.3,37,104,-2.0,-13.9
62,2.0,2024-10-26,28-008,LAC,@,DEN,W (+5),1,20:53,.000,.000,6.0,10.7,8.5,5.7,0.0,0.0,0.0,8.5,39,117,-1.6,-12.2
63,1.0,2024-10-23,28-005,LAC,,PHO,L (-3),1,27:06,.546,.667,3.8,18.6,10.5,22.9,1.8,0.0,12.0,12.8,110,104,6.5,0.1
