Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2025-03-06,26-008,ATL,,IND,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2025-03-04,26-006,ATL,,MIL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,26.0,2025-03-03,26-005,ATL,@,MEM,W (+2),0,2:50,.500,.500,42.4,0.0,22.6,44.5,0.0,0.0,0.0,44.0,142,142,2.3,6.0
4,25.0,2025-02-28,26-002,ATL,,OKC,L (-16),0,2:01,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,300,136,2.7,38.4
5,,2025-02-26,26-000,ATL,@,MIA,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2025-02-24,25-364,ATL,,MIA,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2025-02-23,25-363,ATL,,DET,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2025-02-20,25-360,ATL,,ORL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2025-02-12,25-352,ATL,@,NYK,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2025-02-10,25-350,ATL,@,ORL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2025-02-08,25-348,ATL,@,WAS,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,24.0,2025-02-07,25-347,ATL,,MIL,W (+5),0,18:30,.375,.375,0.0,5.4,2.7,18.4,0.0,5.6,20.0,11.7,88,113,2.7,-5.0
13,23.0,2025-02-05,25-345,ATL,,SAS,L (-1),0,11:54,.833,.833,0.0,0.0,0.0,0.0,0.0,6.3,25.0,13.6,103,120,3.0,-1.6
14,22.0,2025-02-03,25-343,ATL,@,DET,W (+2),0,13:03,.347,.000,0.0,0.0,0.0,35.0,0.0,0.0,25.8,12.7,103,134,1.2,-10.3
15,21.0,2025-02-01,25-341,ATL,@,IND,L (-5),0,13:37,.500,.500,0.0,17.6,8.3,18.6,3.4,0.0,0.0,12.0,122,123,4.2,-2.5
16,20.0,2025-01-30,25-339,ATL,@,CLE,L (-22),0,16:09,.200,.200,0.0,0.0,0.0,23.4,3.0,0.0,16.7,15.8,61,137,0.2,-13.1
17,19.0,2025-01-28,25-337,ATL,,HOU,L (-4),0,21:55,.875,.875,4.7,0.0,2.6,0.0,2.2,0.0,42.9,13.4,88,103,3.3,-3.7
18,18.0,2025-01-27,25-336,ATL,@,MIN,L (-8),1,34:48,.505,.458,2.7,5.4,4.1,33.9,2.8,0.0,18.9,18.9,103,102,10.2,1.8
19,,2025-01-25,25-334,ATL,,TOR,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2025-01-23,25-332,ATL,,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2025-01-22,25-331,ATL,,DET,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2025-01-20,25-329,ATL,@,NYK,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2025-01-18,25-327,ATL,@,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,17.0,2025-01-15,25-324,ATL,@,CHI,W (+16),1,38:26,.699,.667,2.1,13.9,7.2,26.3,4.8,0.0,4.9,21.0,140,87,26.6,12.4
