Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1.0,2024-10-23,26-034,ATL,,BRK,W (+4),1,36:40,.651,.500,3.0,11.6,7.4,52.7,1.3,2.7,11.5,29.3,138,116,29.4,8.4
2,2.0,2024-10-25,26-036,ATL,,CHO,W (+5),1,41:28,.639,.563,9.1,10.7,10.1,44.1,4.6,0.0,19.1,38.0,118,115,32.0,6.3
3,3.0,2024-10-27,26-038,ATL,@,OKC,L (-24),1,37:03,.685,.571,0.0,3.0,1.4,38.5,0.0,0.0,36.3,28.8,96,134,11.7,-5.1
4,4.0,2024-10-28,26-039,ATL,,WAS,L (-2),1,35:44,.369,.200,0.0,25.6,13.1,48.1,1.3,2.9,24.0,29.7,86,115,9.9,-11.9
5,5.0,2024-10-30,26-041,ATL,@,WAS,L (-13),1,40:22,.563,.500,5.5,6.8,6.1,58.0,2.2,0.0,8.8,33.4,128,126,30.9,6.2
6,6.0,2024-11-01,26-043,ATL,,SAC,L (-8),1,42:18,.519,.452,2.3,10.8,6.2,42.7,0.0,0.0,17.2,29.2,106,125,17.6,-4.6
7,7.0,2024-11-03,26-045,ATL,@,NOP,W (+15),1,31:21,.724,.700,4.4,9.4,7.3,48.7,1.6,0.0,11.2,25.1,154,119,24.3,10.9
8,8.0,2024-11-04,26-046,ATL,,BOS,L (-30),1,23:15,.100,.100,0.0,0.0,0.0,35.5,2.0,0.0,23.1,23.1,39,122,-3.2,-18.7
9,9.0,2024-11-06,26-048,ATL,,NYK,W (+5),1,35:15,.469,.405,5.4,14.0,9.2,38.4,2.8,0.0,7.5,30.7,116,120,19.1,1.0
10,10.0,2024-11-08,26-050,ATL,@,DET,L (-1),1,41:00,.614,.560,0.0,5.9,2.6,48.9,2.2,0.0,9.5,29.5,132,118,29.4,7.9
11,11.0,2024-11-09,26-051,ATL,,CHI,L (-12),1,37:52,.438,.438,2.9,6.0,4.4,60.7,0.0,0.0,27.3,24.0,93,128,10.9,-7.1
12,,2024-11-12,26-054,ATL,@,BOS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12.0,2024-11-15,26-057,ATL,,WAS,W (+12),1,33:08,.455,.389,0.0,5.5,2.7,33.6,0.0,0.0,23.3,29.3,89,114,7.1,-11.7
14,13.0,2024-11-17,26-059,ATL,@,POR,L (-4),1,37:55,.726,.656,3.3,10.3,7.3,35.1,0.0,0.0,23.1,26.7,126,118,21.3,2.8
15,14.0,2024-11-18,26-060,ATL,@,SAC,W (+1),1,35:43,.380,.143,0.0,10.1,4.9,67.8,2.7,0.0,35.2,18.2,108,112,13.3,-2.8
16,15.0,2024-11-20,26-062,ATL,@,GSW,L (-23),1,30:20,.436,.375,0.0,9.0,4.0,60.7,2.9,0.0,17.9,20.0,99,108,11.6,0.0
17,16.0,2024-11-22,26-064,ATL,@,CHI,L (-14),1,37:31,.581,.472,0.0,3.9,1.5,42.9,4.7,3.0,15.7,25.8,120,120,24.9,5.3
18,17.0,2024-11-25,26-067,ATL,,DAL,L (-10),1,35:16,.597,.500,2.7,3.4,3.0,52.9,3.7,0.0,16.6,20.2,127,118,22.6,6.4
19,18.0,2024-11-27,26-069,ATL,@,CLE,W (+11),1,36:57,.495,.417,0.0,10.6,5.5,74.8,0.0,0.0,19.8,26.6,124,123,20.2,-0.1
20,19.0,2024-11-29,26-071,ATL,,CLE,W (+16),1,34:41,.739,.667,0.0,7.7,4.5,44.4,0.0,0.0,33.0,25.8,115,108,15.4,-1.7
21,20.0,2024-11-30,26-072,ATL,@,CHO,W (+3),1,30:48,.601,.556,0.0,11.8,6.6,24.5,1.6,0.0,34.0,24.6,90,112,7.4,-9.6
22,21.0,2024-12-02,26-074,ATL,,NOP,W (+12),1,35:50,.375,.375,3.6,17.0,11.6,47.5,1.3,0.0,23.8,22.9,96,107,10.9,-6.2
23,22.0,2024-12-04,26-076,ATL,@,MIL,W (+15),1,35:23,.393,.316,0.0,11.5,5.8,25.8,0.0,0.0,15.6,27.7,86,110,6.6,-11.9
24,23.0,2024-12-06,26-078,ATL,,LAL,W (+2),1,42:05,.543,.460,0.0,11.7,5.7,65.1,2.2,0.0,9.5,31.3,129,118,30.9,7.5
25,24.0,2024-12-08,26-080,ATL,,DEN,L (-30),1,35:08,.540,.538,2.5,12.4,6.2,41.6,3.9,0.0,22.4,19.6,105,129,15.1,0.5
26,25.0,2024-12-11,26-083,ATL,@,NYK,W (+8),1,36:24,.463,.409,0.0,13.7,6.2,44.7,1.3,0.0,11.2,28.5,108,103,16.6,2.7
27,26.0,2024-12-14,26-086,ATL,@,MIL,L (-8),1,39:36,.687,.583,5.1,14.1,9.3,50.3,0.0,3.0,16.4,33.6,126,110,28.8,10.8
28,27.0,2024-12-19,26-091,ATL,@,SAS,L (-7),1,36:39,.589,.531,0.0,0.0,0.0,64.5,3.7,0.0,20.4,27.4,121,116,21.8,4.3
29,,2024-12-21,26-093,ATL,,MEM,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,28.0,2024-12-23,26-095,ATL,,MIN,W (+13),1,31:18,.715,.667,0.0,6.4,3.8,40.2,0.0,0.0,19.8,36.1,124,117,20.2,-0.5
31,29.0,2024-12-26,26-098,ATL,,CHI,W (+8),1,38:44,.672,.588,3.2,3.0,3.1,44.6,2.4,0.0,9.1,23.2,152,130,27.6,4.3
32,30.0,2024-12-28,26-100,ATL,,MIA,W (+10),1,36:51,.373,.308,0.0,2.8,1.5,48.7,1.3,0.0,16.9,21.3,105,117,11.5,-5.1
33,31.0,2024-12-29,26-101,ATL,@,TOR,W (+29),1,32:24,.706,.643,0.0,7.2,3.2,47.5,1.4,4.9,17.2,34.4,130,106,27.5,10.3
34,32.0,2025-01-01,26-104,ATL,@,DEN,L (-19),1,30:16,.673,.588,0.0,17.6,7.3,44.2,2.9,0.0,15.2,33.8,126,126,25.6,8.0
