Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1.0,2024-10-23,31-128,CLE,@,TOR,W (+30),0,18:33,1.100,1.100,0.0,6.2,3.5,0.0,0.0,0.0,16.7,13.9,158,116,8.0,5.7
2,2.0,2024-10-25,31-130,CLE,,DET,W (+12),0,15:20,.500,.500,0.0,37.3,19.3,0.0,0.0,0.0,25.0,11.9,67,103,1.0,-8.7
3,3.0,2024-10-26,31-131,CLE,@,WAS,W (+19),0,21:14,.214,.214,17.4,12.3,14.4,5.1,2.2,0.0,0.0,13.2,90,114,2.4,-10.5
4,4.0,2024-10-28,31-133,CLE,@,NYK,W (+6),0,14:32,.417,.417,8.5,22.0,15.7,10.2,3.4,0.0,0.0,18.6,105,103,4.1,-0.5
5,5.0,2024-10-30,31-135,CLE,,LAL,W (+24),0,21:33,.625,.625,5.9,6.4,6.1,8.6,2.1,0.0,33.3,11.9,100,108,3.2,-3.8
6,6.0,2024-11-01,31-137,CLE,,ORL,W (+11),0,16:07,.700,.700,0.0,18.2,10.2,17.0,0.0,0.0,16.7,16.4,122,109,5.2,1.0
7,7.0,2024-11-02,31-138,CLE,@,MIL,W (+1),0,20:40,.255,.200,0.0,20.6,10.3,11.1,0.0,4.6,25.4,17.5,55,116,0.0,-11.8
8,8.0,2024-11-04,31-140,CLE,,MIL,W (+2),0,26:19,.750,.750,0.0,17.8,8.3,9.0,1.8,0.0,0.0,10.3,146,116,7.6,1.0
9,9.0,2024-11-06,31-142,CLE,@,NOP,W (+9),0,21:07,.563,.563,0.0,10.8,5.8,10.6,0.0,3.7,0.0,15.9,131,126,6.9,-2.4
10,10.0,2024-11-08,31-144,CLE,,GSW,W (+19),0,14:22,.875,.875,0.0,14.8,8.1,9.3,0.0,0.0,20.0,14.2,129,114,4.9,0.0
11,11.0,2024-11-09,31-145,CLE,,BRK,W (+5),0,14:43,.667,.667,0.0,16.7,9.5,12.1,0.0,9.9,14.3,23.2,110,112,5.2,-1.3
12,12.0,2024-11-11,31-147,CLE,@,CHI,W (+6),0,16:37,.575,.550,10.5,22.2,15.4,0.0,2.8,0.0,0.0,25.9,122,108,9.5,1.2
13,13.0,2024-11-13,31-149,CLE,@,PHI,W (+8),0,15:53,.500,.500,0.0,6.2,3.3,0.0,3.2,0.0,0.0,23.4,99,112,4.5,-3.1
14,14.0,2024-11-15,31-151,CLE,,CHI,W (+18),1,24:52,.875,.875,0.0,39.6,20.3,0.0,1.8,0.0,11.1,14.9,131,116,11.6,2.4
15,15.0,2024-11-17,31-153,CLE,,CHO,W (+14),0,26:00,.591,.591,5.8,3.3,4.2,5.3,0.0,3.6,26.7,25.3,90,123,5.3,-5.5
16,16.0,2024-11-19,31-155,CLE,@,BOS,L (-3),0,29:37,.688,.688,7.2,8.5,7.8,12.8,0.0,0.0,0.0,12.1,154,133,9.9,1.5
17,17.0,2024-11-20,31-156,CLE,,NOP,W (+28),0,21:50,.672,.643,0.0,16.9,9.6,12.3,2.3,0.0,6.3,30.9,144,106,14.4,5.7
18,18.0,2024-11-24,31-160,CLE,,TOR,W (+14),0,19:18,.077,.077,0.0,18.4,9.6,5.5,0.0,0.0,7.1,29.7,24,108,-7.0,-31.6
19,19.0,2024-11-27,31-163,CLE,,ATL,L (-11),0,21:12,.500,.500,9.2,29.5,19.1,6.1,0.0,0.0,27.3,20.7,82,129,3.3,-11.0
20,20.0,2024-11-29,31-165,CLE,@,ATL,L (-16),0,20:29,.218,.167,0.0,6.0,2.5,13.1,0.0,0.0,12.7,16.3,54,121,-0.5,-10.7
21,21.0,2024-12-01,31-167,CLE,,BOS,W (+4),0,21:53,.945,.917,5.2,4.6,4.9,7.3,0.0,0.0,12.7,15.9,160,119,11.1,10.2
22,22.0,2024-12-03,31-169,CLE,,WAS,W (+31),0,26:04,.778,.778,0.0,21.7,11.4,5.8,0.0,0.0,0.0,14.9,144,88,10.6,2.3
23,23.0,2024-12-05,31-171,CLE,,DEN,W (+12),0,16:22,.625,.625,0.0,25.0,12.2,0.0,0.0,4.1,33.3,14.9,71,103,2.1,-5.5
24,24.0,2024-12-07,31-173,CLE,@,CHO,W (+14),0,18:20,.521,.500,0.0,36.5,18.7,19.9,0.0,0.0,25.8,9.5,110,110,3.7,-3.2
25,25.0,2024-12-08,31-174,CLE,@,MIA,L (-9),0,31:28,.952,.929,7.3,14.9,11.0,9.1,1.6,0.0,11.3,13.2,168,126,15.3,8.2
26,26.0,2024-12-13,31-179,CLE,,WAS,W (+10),0,22:10,.625,.625,8.0,16.2,11.5,7.9,0.0,0.0,0.0,14.5,137,111,8.2,0.5
27,27.0,2024-12-16,31-182,CLE,@,BRK,W (+29),0,24:43,.814,.800,20.4,24.9,22.7,13.2,0.0,0.0,22.3,23.6,132,108,14.3,1.7
28,28.0,2024-12-20,31-186,CLE,,MIL,W (+23),0,16:39,.625,.625,0.0,11.8,6.2,7.2,2.8,0.0,0.0,10.0,132,97,5.3,3.1
29,29.0,2024-12-21,31-187,CLE,,PHI,W (+27),0,27:22,.722,.722,4.1,14.9,9.7,8.9,0.0,0.0,0.0,14.4,158,107,10.0,1.8
