Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1.0,2024-10-23,24-126,ATL,,BRK,W (+4),0,11:19,.615,.500,0.0,9.4,4.8,24.4,0.0,0.0,0.0,8.9,154,121,3.3,-2.2
2,2.0,2024-10-25,24-128,ATL,,CHO,W (+5),0,14:45,.521,.500,0.0,0.0,0.0,0.0,3.2,7.2,25.8,11.3,75,123,0.3,-11.6
3,3.0,2024-10-27,24-130,ATL,@,OKC,L (-24),0,20:15,.357,.357,4.6,16.5,10.1,15.2,2.3,0.0,22.2,17.2,74,125,1.7,-7.4
4,4.0,2024-10-28,24-131,ATL,,WAS,L (-2),0,9:54,.735,.833,0.0,0.0,0.0,0.0,4.6,0.0,17.4,24.7,105,115,4.9,-0.2
5,,2024-10-30,24-133,ATL,@,WAS,L (-13),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
6,,2024-11-01,24-135,ATL,,SAC,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,,2024-11-03,24-137,ATL,@,NOP,W (+15),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
8,,2024-11-04,24-138,ATL,,BOS,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-06,24-140,ATL,,NYK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-08,24-142,ATL,@,DET,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-09,24-143,ATL,,CHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2024-11-12,24-146,ATL,@,BOS,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
13,,2024-11-15,24-149,ATL,,WAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,5.0,2024-11-17,24-151,ATL,@,POR,L (-4),0,21:17,.800,.800,5.9,4.6,5.2,21.0,2.2,4.0,16.7,11.0,146,114,8.3,6.1
15,,2024-11-18,24-152,ATL,@,SAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
