Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2025-03-06,21-284,ATL,,IND,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2025-03-04,21-282,ATL,,MIL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,19.0,2025-03-03,21-281,ATL,@,MEM,W (+2),1,12:46,.773,.667,9.4,10.7,10.0,0.0,0.0,0.0,0.0,12.6,174,138,5.3,-4.0
4,18.0,2025-02-28,21-278,ATL,,OKC,L (-16),0,2:01,,,0.0,0.0,0.0,0.0,22.4,0.0,,0.0,0,82,1.0,17.8
5,,2025-02-26,21-276,ATL,@,MIA,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2025-02-24,21-274,ATL,,MIA,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2025-02-23,21-273,ATL,,DET,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,17.0,2025-02-20,21-270,ATL,,ORL,L (-6),0,6:59,1.250,1.250,23.7,0.0,13.2,0.0,0.0,0.0,0.0,11.3,239,123,5.8,18.1
9,16.0,2025-02-12,21-262,ATL,@,NYK,L (-1),0,12:17,.500,.500,17.3,12.0,15.1,10.3,0.0,0.0,14.3,21.7,107,135,3.2,-12.7
10,,2025-02-10,21-260,ATL,@,ORL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2025-02-08,21-258,ATL,@,WAS,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,15.0,2025-02-07,21-257,ATL,,MIL,W (+5),1,20:10,.875,.875,5.1,14.9,10.0,0.0,0.0,5.2,20.0,10.7,129,112,5.9,-1.8
13,14.0,2025-02-05,21-255,ATL,,SAS,L (-1),0,10:56,.388,.417,0.0,27.4,15.3,0.0,0.0,20.6,0.0,23.8,77,103,3.8,-1.9
14,13.0,2025-02-03,21-253,ATL,@,DET,W (+2),0,11:18,.000,.000,11.8,10.1,10.9,0.0,0.0,7.6,0.0,3.8,80,127,0.6,-7.2
15,12.0,2025-02-01,21-251,ATL,@,IND,L (-5),1,13:11,.530,.556,8.1,18.2,12.9,0.0,0.0,12.8,0.0,29.4,107,119,8.0,-0.3
