Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,53.0,2025-03-06,30-292,ATL,,IND,W (+6),0,13:36,.500,.500,24.6,16.8,20.8,0.0,0.0,0.0,0.0,19.1,126,125,5.3,-7.4
2,52.0,2025-03-04,30-290,ATL,,MIL,L (-6),0,20:32,.500,.500,17.6,20.8,19.1,6.4,4.3,7.9,0.0,15.5,125,106,10.5,0.3
3,51.0,2025-03-03,30-289,ATL,@,MEM,W (+2),0,16:10,.571,.571,14.8,17.0,15.8,6.9,3.0,4.9,0.0,24.8,134,127,10.1,-1.1
4,50.0,2025-02-28,30-286,ATL,,OKC,L (-16),0,10:35,.000,.000,20.6,20.2,20.4,0.0,0.0,0.0,33.3,11.6,47,131,-0.4,-16.1
5,49.0,2025-02-26,30-284,ATL,@,MIA,L (-22),0,16:11,.667,.667,0.0,27.8,13.1,20.4,0.0,0.0,0.0,16.7,142,141,7.3,1.5
6,48.0,2025-02-24,30-282,ATL,,MIA,W (+12),0,19:06,.500,.500,28.6,29.6,29.1,8.4,5.2,0.0,11.1,20.3,112,77,9.4,1.8
7,47.0,2025-02-23,30-281,ATL,,DET,L (-5),0,17:52,.840,1.000,6.4,46.1,24.4,0.0,0.0,10.1,0.0,10.2,171,125,9.8,2.1
8,46.0,2025-02-20,30-278,ATL,,ORL,L (-6),0,18:22,.218,.167,13.5,5.7,10.1,7.2,0.0,4.4,0.0,14.8,79,118,2.2,-9.2
9,,2025-02-12,30-270,ATL,@,NYK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2025-02-10,30-268,ATL,@,ORL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2025-02-08,30-266,ATL,@,WAS,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2025-02-07,30-265,ATL,,MIL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2025-02-05,30-263,ATL,,SAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2025-02-03,30-261,ATL,@,DET,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2025-02-01,30-259,ATL,@,IND,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2025-01-30,30-257,ATL,@,CLE,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2025-01-28,30-255,ATL,,HOU,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,45.0,2025-01-27,30-254,ATL,@,MIN,L (-8),0,21:14,.635,.714,26.6,39.9,33.2,29.9,2.3,4.9,20.2,19.3,118,87,14.2,10.3
19,44.0,2025-01-25,30-252,ATL,,TOR,L (-23),0,13:55,.460,.400,6.9,23.5,14.7,0.0,0.0,0.0,15.5,18.7,81,112,2.1,-11.9
20,,2025-01-23,30-250,ATL,,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,43.0,2025-01-22,30-249,ATL,,DET,L (-10),0,21:12,.784,.750,19.2,29.0,23.1,0.0,2.1,9.1,8.9,19.7,149,100,17.6,10.5
22,42.0,2025-01-20,30-247,ATL,@,NYK,L (-9),0,19:34,.607,.556,39.9,13.3,27.6,0.0,0.0,7.7,16.8,24.6,123,121,12.6,0.5
23,41.0,2025-01-18,30-245,ATL,@,BOS,W (+4),1,20:57,.307,.250,10.3,30.0,21.1,6.1,0.0,0.0,17.0,12.1,81,105,2.2,-9.1
24,40.0,2025-01-15,30-242,ATL,@,CHI,W (+16),1,21:03,.463,.455,3.9,45.6,21.9,7.7,0.0,3.7,0.0,22.4,101,88,8.9,-2.0
25,39.0,2025-01-14,30-241,ATL,,PHO,W (+5),1,19:50,.521,.500,0.0,48.4,21.3,0.0,2.4,4.9,0.0,5.6,117,109,5.3,-2.1
26,38.0,2025-01-09,30-236,ATL,@,PHO,L (-8),1,25:54,.421,.364,19.5,36.0,27.5,10.7,2.0,7.1,7.8,22.8,105,123,10.0,-8.3
27,37.0,2025-01-07,30-234,ATL,@,UTA,W (+3),1,25:15,.818,.818,8.3,16.9,12.5,0.0,0.0,11.9,8.3,19.9,144,117,16.8,2.3
28,36.0,2025-01-04,30-231,ATL,@,LAC,L (-26),1,18:31,.510,.600,10.6,30.9,19.9,8.6,2.3,4.3,40.5,21.6,65,113,4.2,-8.5
29,35.0,2025-01-03,30-230,ATL,@,LAL,L (-17),1,22:27,.500,.500,12.3,19.9,15.8,13.2,0.0,0.0,0.0,14.8,123,122,6.7,-3.6
30,34.0,2025-01-01,30-228,ATL,@,DEN,L (-19),1,19:35,.410,.500,4.8,40.9,19.7,6.1,2.2,0.0,29.1,13.7,67,126,3.0,-10.9
31,33.0,2024-12-29,30-225,ATL,@,TOR,W (+29),1,26:35,.709,.667,14.2,35.2,23.6,9.3,3.3,0.0,0.0,11.2,169,94,15.0,2.2
32,32.0,2024-12-28,30-224,ATL,,MIA,W (+10),1,21:22,.872,1.000,0.0,34.2,17.7,6.0,2.3,0.0,22.5,9.2,118,108,7.1,0.7
33,31.0,2024-12-26,30-222,ATL,,CHI,W (+8),1,25:05,1.031,1.000,4.9,14.0,9.6,9.5,0.0,3.5,0.0,6.3,221,131,10.8,2.1
34,30.0,2024-12-23,30-219,ATL,,MIN,W (+13),1,25:30,.333,.333,22.8,15.7,18.6,10.7,1.9,0.0,33.3,15.8,85,108,3.2,-10.5
35,29.0,2024-12-21,30-217,ATL,,MEM,L (-16),1,18:40,.368,.400,13.5,35.9,25.4,0.0,0.0,9.2,15.5,28.7,67,113,4.4,-13.5
36,28.0,2024-12-19,30-215,ATL,@,SAS,L (-7),1,21:35,.714,.714,16.0,30.1,23.3,7.3,0.0,4.2,30.0,19.0,104,116,8.6,-4.1
37,27.0,2024-12-14,30-210,ATL,@,MIL,L (-8),1,28:44,.338,.375,7.0,23.3,14.7,0.0,1.6,16.3,10.1,15.0,70,96,5.2,-4.4
38,26.0,2024-12-11,30-207,ATL,@,NYK,W (+8),1,24:49,.619,.625,13.1,36.3,23.5,5.8,0.0,0.0,0.0,13.9,144,98,12.4,3.0
39,25.0,2024-12-08,30-204,ATL,,DEN,L (-30),1,19:01,.571,.571,27.5,30.6,28.7,8.2,0.0,0.0,0.0,15.9,143,135,9.4,-3.5
40,24.0,2024-12-06,30-202,ATL,,LAL,W (+2),1,23:55,.500,.500,19.7,0.0,10.1,9.7,0.0,6.9,0.0,7.0,152,118,7.2,-1.4
