Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,49.0,2025-03-06,30-193,ATL,,IND,W (+6),0,26:53,.337,.364,0.0,8.5,4.2,16.7,0.0,3.4,0.0,19.1,88,124,4.8,-8.3
2,48.0,2025-03-04,30-191,ATL,,MIL,L (-6),0,29:02,.733,.692,0.0,11.0,5.1,20.2,1.5,0.0,0.0,19.7,152,120,19.4,7.1
3,47.0,2025-03-03,30-190,ATL,@,MEM,W (+2),0,31:50,.658,.658,7.5,4.3,6.0,19.6,4.6,2.5,9.5,27.4,133,129,22.2,7.4
4,46.0,2025-02-28,30-187,ATL,,OKC,L (-16),0,27:24,.681,.656,0.0,11.7,5.9,19.3,3.3,0.0,15.1,29.7,115,125,17.0,5.2
5,45.0,2025-02-26,30-185,ATL,@,MIA,L (-22),0,32:21,.660,.625,0.0,9.3,4.4,9.2,3.2,0.0,7.2,19.4,126,136,13.6,0.5
6,44.0,2025-02-24,30-183,ATL,,MIA,W (+12),0,28:23,.545,.458,7.7,6.6,7.1,10.7,1.8,0.0,6.8,22.4,118,97,11.2,1.6
7,43.0,2025-02-23,30-182,ATL,,DET,L (-5),0,22:40,.350,.350,0.0,6.1,2.8,5.1,0.0,0.0,0.0,17.0,82,136,1.8,-14.3
8,42.0,2025-02-20,30-179,ATL,,ORL,L (-6),0,28:17,.440,.462,0.0,14.8,6.5,0.0,3.4,0.0,0.0,20.6,92,111,6.7,-4.8
9,41.0,2025-02-12,30-171,ATL,@,NYK,L (-1),0,35:17,.678,.692,15.0,20.9,17.5,24.5,0.0,6.6,6.3,17.0,150,129,22.7,6.8
10,40.0,2025-02-10,30-169,ATL,@,ORL,W (+6),0,32:06,.705,.682,0.0,29.9,16.0,10.3,0.0,0.0,0.0,17.9,140,111,15.3,2.8
11,39.0,2025-02-08,30-167,ATL,@,WAS,W (+14),0,15:12,.580,.417,0.0,20.2,10.1,0.0,0.0,0.0,11.4,23.7,104,108,3.5,-12.9
12,,2025-02-07,30-166,ATL,,MIL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,38.0,2025-02-05,30-164,CLE,@,DET,W (+3),1,21:00,.000,.000,0.0,8.8,5.0,0.0,2.2,0.0,20.0,19.1,0,114,-6.8,-24.3
14,37.0,2025-02-04,30-163,CLE,,BOS,L (-7),0,16:36,.000,.000,11.1,5.6,8.3,24.1,0.0,0.0,28.6,17.5,40,121,-1.7,-12.0
15,36.0,2025-02-02,30-161,CLE,,DAL,W (+43),0,23:19,.625,.625,0.0,0.0,0.0,23.0,1.9,0.0,0.0,15.1,142,101,10.1,2.4
16,,2025-01-30,30-158,CLE,,ATL,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2025-01-29,30-157,CLE,@,MIA,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2025-01-27,30-155,CLE,,DET,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2025-01-25,30-153,CLE,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2025-01-24,30-152,CLE,@,PHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2025-01-22,30-150,CLE,@,HOU,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2025-01-20,30-148,CLE,,PHO,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,35.0,2025-01-18,30-146,CLE,@,MIN,W (+7),1,25:14,.167,.167,4.1,13.3,8.5,14.2,0.0,0.0,14.3,12.0,69,126,0.1,-12.2
24,34.0,2025-01-16,30-144,CLE,@,OKC,L (-20),0,19:47,.625,.600,0.0,15.8,8.3,21.0,0.0,4.7,29.4,20.6,96,125,6.6,-1.9
25,33.0,2025-01-14,30-142,CLE,@,IND,W (+10),0,26:45,.451,.250,17.1,4.1,10.4,30.5,3.5,5.7,27.9,16.4,116,110,11.6,7.0
26,32.0,2025-01-12,30-140,CLE,,IND,L (-15),0,22:27,.258,.000,0.0,18.2,9.1,13.0,0.0,3.8,20.5,10.0,62,109,1.4,-7.8
27,31.0,2025-01-09,30-137,CLE,,TOR,W (+6),1,36:26,.699,.667,3.0,7.5,5.0,16.8,0.0,2.3,7.2,16.5,152,136,16.1,2.0
28,30.0,2025-01-08,30-136,CLE,,OKC,W (+7),0,19:41,.444,.444,0.0,13.2,6.3,12.3,0.0,0.0,0.0,18.8,106,126,4.5,-4.4
29,29.0,2025-01-05,30-133,CLE,,CHO,W (+10),0,24:41,.167,.167,4.4,17.3,10.9,27.7,2.0,0.0,25.0,14.0,74,105,2.5,-6.1
30,28.0,2025-01-03,30-131,CLE,@,DAL,W (+12),0,25:29,.521,.533,0.0,13.2,7.6,9.7,3.7,3.4,0.0,26.8,108,113,13.4,1.1
31,27.0,2024-12-31,30-128,CLE,@,LAL,W (+12),0,22:37,.375,.375,0.0,4.6,2.3,9.9,2.1,3.5,20.0,9.5,81,109,2.2,-4.2
32,26.0,2024-12-30,30-127,CLE,@,GSW,W (+18),0,21:03,.455,.444,0.0,4.0,2.1,6.1,4.3,0.0,16.8,23.3,79,92,4.5,-1.2
33,25.0,2024-12-27,30-124,CLE,@,DEN,W (+14),0,23:06,.650,.650,5.3,11.2,8.2,14.3,0.0,3.3,0.0,17.8,144,133,11.7,0.8
34,24.0,2024-12-23,30-120,CLE,,UTA,W (+11),0,23:56,.671,.583,4.7,8.4,6.6,5.4,0.0,0.0,0.0,14.9,148,124,8.4,-3.4
35,23.0,2024-12-21,30-118,CLE,,PHI,W (+27),0,21:56,.545,.545,0.0,4.7,2.4,17.7,4.6,0.0,21.4,28.0,96,101,7.3,-2.3
