Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Bub Carrington,37:58,9,13,.692,5,7,.714,0,0,,1,3,4,7,1,0,2,2,23,22.2,-20,carrica01
Bilal Coulibaly,35:24,6,20,.300,1,5,.200,4,4,1.000,2,5,7,0,1,1,1,0,17,9.0,-8,coulibi01
Jordan Poole,31:16,8,17,.471,1,8,.125,4,4,1.000,1,4,5,6,1,0,5,5,21,12.4,+1,poolejo01
Richaun Holmes,29:32,4,6,.667,0,0,,2,2,1.000,1,7,8,2,0,1,1,0,10,11.3,-6,holmeri01
Justin Champagnie,24:51,4,8,.500,0,1,.000,2,2,1.000,3,5,8,0,1,0,4,4,10,5.0,-21,champju01
Corey Kispert,34:40,6,13,.462,1,7,.143,0,0,,2,5,7,5,0,0,1,3,13,10.5,-1,kispeco01
Malcolm Brogdon,22:45,0,6,.000,0,4,.000,7,7,1.000,0,3,3,4,1,0,2,0,7,5.5,-11,brogdma01
Tristan Vukcevic,14:26,3,6,.500,1,3,.333,1,2,.500,3,5,8,1,1,0,1,0,8,8.9,0,vukcetr01
AJ Johnson,7:27,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,4,2,0.4,-4,johnsaj01
Jaylen Martin,1:40,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-0.4,0,martija02
Kyshawn George,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,georgky01
Alex Sarr,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,sarral01
Team Totals,240,41,93,.441,9,36,.250,20,21,.952,14,39,53,26,6,2,18,18,111,,,-9999
