Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Scottie Barnes,38:48,8,17,.471,1,2,.500,8,10,.800,1,5,6,3,1,0,1,1,25,19.4,+11,barnesc01
RJ Barrett,35:40,6,9,.667,3,3,1.000,0,2,.000,1,5,6,3,2,0,5,2,15,10.8,+5,barrerj01
Gradey Dick,31:33,6,10,.600,1,5,.200,2,2,1.000,0,3,3,3,2,0,4,2,15,10.6,+12,dickgr01
Davion Mitchell,31:09,1,3,.333,0,0,,0,0,,0,1,1,7,0,0,2,5,2,1.5,+17,mitchda01
Jakob Poeltl,28:08,7,10,.700,0,0,,3,3,1.000,3,6,9,5,2,2,3,5,17,18.6,+6,poeltja01
Bruce Brown,19:31,8,12,.667,1,3,.333,1,1,1.000,0,5,5,4,1,0,2,2,18,15.3,-8,brownbr01
Chris Boucher,17:51,7,10,.700,2,4,.500,1,2,.500,1,1,2,0,1,0,1,2,17,12.6,-11,bouchch01
Jamal Shead,16:51,1,4,.250,0,1,.000,0,0,,0,2,2,2,0,0,0,2,2,0.8,-14,sheadja01
Kelly Olynyk,13:44,3,4,.750,1,2,.500,4,4,1.000,0,4,4,5,1,0,1,1,11,13.7,+2,olynyke01
Ja'Kobe Walter,6:45,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,4,0,-2.7,-5,walteja01
Orlando Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,robinor01
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,templga01
Team Totals,240,47,81,.580,9,21,.429,19,24,.792,6,33,39,32,10,2,20,26,122,,,-9999
