Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Jarrett Allen,30:33,3,3,1.0,0,0,,3,4,0.75,3,12,15,2,0,0,0,1,9,14.4,5.0,allenja01
Darius Garland,30:19,11,20,0.55,2,6,0.333,2,2,1.0,0,2,2,7,2,0,3,4,26,19.3,7.0,garlada01
Donovan Mitchell,27:21,8,16,0.5,4,10,0.4,4,5,0.8,0,1,1,6,1,0,1,1,24,19.7,17.0,mitchdo01
Evan Mobley,27:07,7,12,0.583,0,2,0.0,2,2,1.0,2,8,10,4,1,1,1,0,16,17.7,19.0,mobleev01
Max Strus,20:35,4,5,0.8,3,4,0.75,0,0,,1,4,5,3,1,0,3,1,11,10.7,9.0,strusma01
Ty Jerome,26:04,9,11,0.818,1,2,0.5,1,1,1.0,0,2,2,6,2,0,1,1,20,21.3,21.0,jeromty01
Sam Merrill,23:43,2,6,0.333,0,4,0.0,0,0,,2,1,3,4,2,1,1,3,4,5.6,11.0,merrisa01
Georges Niang,17:53,2,6,0.333,2,6,0.333,4,4,1.0,1,2,3,0,0,0,0,4,10,6.3,25.0,niangge01
Jaylon Tyson,16:45,6,9,0.667,1,3,0.333,2,2,1.0,1,4,5,0,0,1,0,3,15,12.5,-7.0,tysonja01
Craig Porter Jr.,8:34,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,-3.0,portecr01
Emoni Bates,3:42,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,2.0,batesem01
Tristan Thompson,3:42,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,2.0,thomptr01
JT Thor,3:42,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2.0,thorjt01
Team Totals,240,53,91,0.582,13,39,0.333,18,20,0.9,10,39,49,34,9,3,12,19,137,,,-9999
