Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Damian Lillard,36:07,9,18,.500,2,10,.200,3,3,1.000,0,5,5,4,2,0,1,2,23,18.5,+10,lillada01
Giannis Antetokounmpo,33:49,9,18,.500,0,2,.000,8,12,.667,3,9,12,10,1,0,3,2,26,24.4,+9,antetgi01
Kyle Kuzma,33:29,7,10,.700,1,2,.500,2,3,.667,0,10,10,2,0,0,1,0,17,15.8,+3,kuzmaky01
Brook Lopez,33:23,5,14,.357,1,5,.200,2,2,1.000,4,9,13,3,1,1,1,1,13,13.1,+7,lopezbr01
Taurean Prince,28:46,3,9,.333,2,5,.400,0,0,,0,2,2,2,1,0,1,4,8,3.3,+4,princta02
Gary Trent Jr.,24:35,6,10,.600,2,6,.333,1,1,1.000,0,0,0,2,2,0,1,2,15,12.0,+1,trentga02
A.J. Green,23:21,3,8,.375,2,6,.333,0,0,,0,4,4,1,0,0,1,0,8,4.5,+1,greenaj01
Jericho Sims,14:37,1,2,.500,0,0,,0,0,,2,1,3,1,0,0,2,2,2,0.6,-1,simsje01
Kevin Porter Jr.,11:53,6,7,.857,1,1,1.000,2,2,1.000,0,2,2,2,1,0,3,0,15,12.5,-4,porteke02
Andre Jackson Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,jacksan01
Chris Livingston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,livinch01
Ryan Rollins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,rolliry01
Tyler Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,smithty02
Team Totals,240,49,96,.510,11,37,.297,18,23,.783,9,42,51,27,8,1,15,13,127,,,-9999
