Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Scottie Barnes,32:19,8,17,.471,1,5,.200,7,7,1.000,3,9,12,7,2,2,4,0,24,24.4,+26,barnesc01
RJ Barrett,30:08,9,13,.692,3,4,.750,2,4,.500,2,6,8,4,1,0,2,2,23,20.9,+11,barrerj01
Jakob Poeltl,27:24,4,6,.667,0,0,,1,1,1.000,2,7,9,3,3,1,2,0,9,13.7,+15,poeltja01
Davion Mitchell,25:43,3,8,.375,1,4,.250,1,1,1.000,0,2,2,4,1,0,1,3,8,5.8,+2,mitchda01
Gradey Dick,14:13,2,7,.286,2,4,.500,0,0,,0,1,1,2,0,0,1,5,6,0.6,-16,dickgr01
Bruce Brown,26:56,3,9,.333,0,3,.000,2,2,1.000,0,5,5,2,1,0,5,3,8,0.6,+27,brownbr01
Jamal Shead,22:17,1,7,.143,0,3,.000,3,3,1.000,0,0,0,6,0,0,3,2,5,0.9,+21,sheadja01
Chris Boucher,21:14,7,10,.700,3,4,.750,6,6,1.000,0,5,5,0,0,1,0,0,23,21.0,+21,bouchch01
Orlando Robinson,20:36,2,7,.286,0,1,.000,0,0,,2,4,6,0,1,2,3,4,4,0.3,+8,robinor01
Ja'Kobe Walter,16:29,3,6,.500,1,2,.500,0,1,.000,0,3,3,3,2,0,0,1,7,8.2,+5,walteja01
Garrett Temple,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-5,templga01
Kelly Olynyk,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,olynyke01
Team Totals,240,42,90,.467,11,30,.367,22,25,.880,9,42,51,31,11,7,21,20,117,,,-9999
