Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Paolo Banchero,37:12,11,25,.440,3,10,.300,11,16,.688,2,8,10,5,0,0,3,1,36,24.8,+10,banchpa01
Franz Wagner,33:06,9,18,.500,0,3,.000,7,11,.636,1,6,7,5,0,0,1,4,25,17.8,+2,wagnefr01
Wendell Carter Jr.,32:21,4,8,.500,0,2,.000,1,2,.500,4,11,15,0,0,1,0,3,9,10.2,0,cartewe01
Cole Anthony,31:48,7,13,.538,1,2,.500,2,2,1.000,1,4,5,3,3,1,2,5,17,14.4,+10,anthoco01
Kentavious Caldwell-Pope,29:54,2,5,.400,1,3,.333,1,3,.333,0,4,4,0,0,0,1,3,6,1.5,+7,caldwke01
Tristan Da Silva,18:06,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,3.0,-1,dasiltr01
Gary Harris,15:41,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,3,0,-1.3,+1,harriga01
Goga Bitadze,15:39,3,3,1.000,0,0,,0,0,,1,5,6,1,1,2,0,1,6,10.0,+6,bitadgo01
Anthony Black,15:25,4,7,.571,0,0,,2,2,1.000,2,0,2,0,2,2,0,2,10,10.7,-1,blackan01
Jonathan Isaac,10:48,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,0.9,-4,isaacjo01
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,houstca01
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,howarje01
Cory Joseph,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,josepco01
Trevelin Queen,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,queentr01
Team Totals,240,41,85,.482,6,25,.240,26,38,.684,11,42,53,15,6,7,8,22,114,,,-9999
