Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,10:03,1,3,.333,1,2,.500,0,0,,0,0,0,3,0,0,1,0,3,2.4,-9,youngtr01
Dyson Daniels,8:33,0,1,.000,0,0,,3,4,.750,1,1,2,0,0,0,0,0,3,2.9,-11,daniedy01
Onyeka Okongwu,8:07,2,2,1.000,0,0,,2,2,1.000,2,0,2,1,2,0,1,1,6,8.1,-9,okongon01
Vit Krejci,8:07,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,0,0,1,3,0.8,-9,krejcvi01
Jalen Johnson,9:37,0,1,.000,0,0,,1,2,.500,0,1,1,1,1,0,2,1,1,-0.5,-7,johnsja05
Bogdan Bogdanović,5:50,2,3,.667,1,2,.500,0,1,.000,0,2,2,0,0,0,2,2,5,1.1,-2,bogdabo01
De'Andre Hunter,5:50,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2,huntede01
Dominick Barlow,3:53,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4,4.0,-1,barlodo01
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,,-9999
David Roddy,,,,,,,,,,,,,,,,,,,,,,-9999
Larry Nance Jr.,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,nancela02
Zaccharie Risacher,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,risacza01
Team Totals,60,7,18,.389,3,8,.375,8,11,.727,3,8,11,6,3,0,6,5,25,,,-9999
