Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:16,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,3,1,2,-2.8,0,youngtr01
Vit Krejci,8:44,3,4,.750,3,3,1.000,0,0,,0,0,0,3,2,0,0,1,9,11.1,+12,krejcvi01
Dyson Daniels,8:44,4,5,.800,0,0,,0,1,.000,1,2,3,3,0,0,2,0,8,7.1,+12,daniedy01
Onyeka Okongwu,6:56,2,3,.667,0,0,,2,3,.667,0,2,2,3,1,1,0,0,6,8.7,+9,okongon01
Larry Nance Jr.,6:12,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+7,nancela02
Bogdan Bogdanović,7:00,0,3,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,0,0,-0.1,-2,bogdabo01
Garrison Mathews,5:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,mathega01
Clint Capela,5:04,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-4,capelca01
Daeqwon Plowden,,,,,,,,,,,,,,,,,,,,,,-9999
David Roddy,3:16,0,0,,0,0,,2,2,1.000,0,2,2,0,0,1,0,0,2,3.3,-7,roddyda01
Dominick Barlow,,,,,,,,,,,,,,,,,,,,,,-9999
Zaccharie Risacher,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,risacza01
Team Totals,60,10,21,.476,3,7,.429,4,6,.667,2,10,12,10,4,2,6,4,27,,,-9999
