Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,35:53,7,17,.412,1,5,.200,7,7,1.000,0,3,3,16,0,0,1,2,22,23.2,+7,youngtr01
Dyson Daniels,34:43,8,12,.667,1,1,1.000,0,0,,0,4,4,5,1,0,3,3,17,13.3,-8,daniedy01
Onyeka Okongwu,34:24,7,8,.875,0,1,.000,6,7,.857,4,9,13,2,1,1,0,2,20,24.6,+11,okongon01
Zaccharie Risacher,24:55,4,9,.444,3,3,1.000,0,0,,2,2,4,2,0,1,2,1,11,8.0,+16,risacza01
Mouhamed Gueye,22:53,2,7,.286,0,4,.000,0,0,,0,5,5,0,3,1,0,3,4,3.9,+6,gueyemo02
Caris LeVert,26:53,4,11,.364,0,4,.000,0,2,.000,0,2,2,4,0,1,0,1,8,4.8,-8,leverca01
Georges Niang,24:48,10,15,.667,4,8,.500,0,0,,1,5,6,3,0,0,1,0,24,20.8,-1,niangge01
Terance Mann,21:55,5,9,.556,1,4,.250,1,2,.500,1,0,1,0,0,0,1,3,12,5.8,+12,mannte01
Clint Capela,13:36,3,6,.500,0,0,,0,0,,3,2,5,0,0,0,0,1,6,5.3,-5,capelca01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,240,50,94,.532,10,30,.333,14,18,.778,11,32,43,32,5,4,9,16,124,,,-9999
