Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,35:24,9,24,.375,1,6,.167,9,9,1.000,0,2,2,13,1,0,4,2,28,20.7,-10,youngtr01
Dyson Daniels,33:31,7,14,.500,2,4,.500,0,2,.000,0,9,9,6,2,0,3,2,16,13.3,-14,daniedy01
Onyeka Okongwu,27:28,3,7,.429,0,1,.000,0,0,,3,6,9,2,1,2,1,4,6,7.4,-9,okongon01
Mouhamed Gueye,25:14,5,7,.714,4,6,.667,1,2,.500,2,3,5,1,2,1,0,3,15,16.2,-9,gueyemo02
Zaccharie Risacher,24:59,3,10,.300,1,6,.167,0,1,.000,0,4,4,0,0,0,0,1,7,1.6,-6,risacza01
Caris LeVert,29:02,8,13,.615,2,4,.500,3,3,1.000,0,3,3,4,1,0,0,1,21,19.4,+5,leverca01
Georges Niang,22:41,3,11,.273,2,8,.250,0,0,,1,2,3,2,0,0,0,3,8,3.0,+3,niangge01
Terance Mann,21:09,4,7,.571,4,6,.667,0,0,,1,3,4,4,1,1,3,1,12,11.4,+7,mannte01
Clint Capela,20:32,4,8,.500,0,0,,0,0,,4,4,8,1,2,2,0,4,8,10.5,+3,capelca01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,240,46,101,.455,16,41,.390,13,17,.765,11,36,47,33,10,6,12,21,121,,,-9999
