Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,44:15,11,29,.379,4,11,.364,12,14,.857,0,1,1,19,0,0,8,2,38,26.1,0,youngtr01
Onyeka Okongwu,40:43,9,10,.900,0,1,.000,3,8,.375,5,9,14,5,2,3,0,3,21,28.2,+6,okongon01
Dyson Daniels,36:29,10,15,.667,2,3,.667,1,2,.500,1,3,4,4,4,0,1,5,23,21.5,+2,daniedy01
Zaccharie Risacher,30:03,6,11,.545,2,4,.500,2,2,1.000,0,2,2,1,1,1,1,2,16,11.9,-3,risacza01
Mouhamed Gueye,15:49,0,6,.000,0,4,.000,2,2,1.000,2,1,3,1,1,1,0,1,2,1.5,-19,gueyemo02
Caris LeVert,35:17,8,13,.615,2,4,.500,2,4,.500,5,5,10,7,0,3,1,4,20,22.7,+10,leverca01
Georges Niang,33:48,8,16,.500,4,10,.400,1,1,1.000,1,3,4,3,1,2,0,5,21,17.1,+18,niangge01
Terance Mann,16:19,0,4,.000,0,0,,1,2,.500,3,3,6,2,3,0,0,4,1,3.6,-12,mannte01
Dominick Barlow,12:17,3,6,.500,0,1,.000,0,0,,2,1,3,1,0,0,1,3,6,3.2,-7,barlodo01
Kobe Bufkin,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,bufkiko01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,265,55,110,.500,14,38,.368,24,35,.686,19,28,47,43,12,10,14,29,148,,,-9999
