Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:33,1,5,.200,0,1,.000,0,0,,0,0,0,5,0,0,1,0,2,1.4,-5,youngtr01
Onyeka Okongwu,9:25,1,1,1.000,0,0,,0,0,,1,2,3,2,0,2,0,1,2,5.4,-8,okongon01
Dyson Daniels,9:25,4,7,.571,2,3,.667,0,0,,0,2,2,1,1,0,1,1,10,7.6,-8,daniedy01
Zaccharie Risacher,9:25,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,1,0,1,3,0.9,-8,risacza01
Mouhamed Gueye,4:52,0,2,.000,0,2,.000,2,2,1.000,1,0,1,0,0,0,0,1,2,0.9,-8,gueyemo02
Caris LeVert,6:02,0,3,.000,0,1,.000,0,0,,2,0,2,1,0,1,0,0,0,0.7,-5,leverca01
Georges Niang,7:08,2,5,.400,1,2,.500,0,0,,1,1,2,0,0,0,0,1,5,2.9,-1,niangge01
Terance Mann,2:35,0,1,.000,0,0,,1,2,.500,2,0,2,0,0,0,0,0,1,1.3,-1,mannte01
Dominick Barlow,2:35,2,4,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,4,3.0,-1,barlodo01
Kobe Bufkin,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,bufkiko01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,11,32,.344,4,12,.333,3,4,.750,8,6,14,9,1,4,2,5,29,,,-9999
