Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,9:21,0,3,.000,0,1,.000,0,0,,0,0,0,4,1,0,0,1,0,1.3,-14,youngtr01
Onyeka Okongwu,7:01,2,3,.667,0,1,.000,0,0,,2,1,3,0,0,0,1,0,4,3.4,-14,okongon01
Dyson Daniels,8:44,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,1,1,2,0.9,-11,daniedy01
Zaccharie Risacher,7:01,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,3,0,2,-1.7,-14,risacza01
Mouhamed Gueye,3:45,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.0,-11,gueyemo02
Georges Niang,8:15,2,4,.500,1,2,.500,0,0,,0,2,2,1,0,0,0,1,5,3.9,-6,niangge01
Caris LeVert,5:55,2,3,.667,0,1,.000,1,1,1.000,0,0,0,0,0,0,1,0,5,2.7,-9,leverca01
Terance Mann,4:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-3,mannte01
Clint Capela,4:59,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,-3,capelca01
Keaton Wallace,,,,,,,,,,,,,,,,,,,,,,-9999
Dominick Barlow,,,,,,,,,,,,,,,,,,,,,,-9999
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Team Totals,60,10,23,.435,2,7,.286,1,1,1.000,4,8,12,6,1,2,7,3,23,,,-9999
