Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:38,2,4,.500,0,2,.000,0,0,,0,1,1,0,0,0,1,0,4,1.3,+5,youngtr01
Dyson Daniels,9:14,0,2,.000,0,1,.000,0,0,,1,2,3,2,1,0,0,1,0,1.9,-2,daniedy01
Onyeka Okongwu,6:55,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,2,0,1,0,5,6.4,0,okongon01
Zaccharie Risacher,6:55,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,0,risacza01
Mouhamed Gueye,5:52,2,3,.667,1,2,.500,0,0,,0,0,0,1,0,1,1,1,5,3.7,+2,gueyemo02
Caris LeVert,6:08,0,2,.000,0,2,.000,2,2,1.000,0,1,1,2,0,0,1,0,2,1.3,-1,leverca01
Terance Mann,5:05,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,5,3.7,+1,mannte01
Georges Niang,6:08,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-1,niangge01
Clint Capela,5:05,1,2,.500,0,0,,0,0,,0,3,3,0,1,0,0,1,2,2.5,+1,capelca01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,9,20,.450,3,10,.300,2,2,1.000,1,9,10,7,4,1,6,5,23,,,-9999
