Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,8:37,1,5,.200,1,3,.333,0,0,,1,4,5,2,0,0,0,0,3,3.2,+3,daniedy01
Vit Krejci,8:37,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,1,0,-0.1,+3,krejcvi01
Trae Young,9:12,2,5,.400,1,3,.333,1,1,1.000,0,1,1,3,0,0,2,1,6,3.3,+7,youngtr01
Onyeka Okongwu,5:49,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,5,5.4,+5,okongon01
Mouhamed Gueye,5:06,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,0,0,2,2.0,+9,gueyemo02
De'Andre Hunter,6:54,3,6,.500,0,3,.000,0,0,,0,1,1,0,0,0,1,0,6,2.3,-4,huntede01
Keaton Wallace,6:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,wallake01
Larry Nance Jr.,6:11,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.0,0,nancela02
Garrison Mathews,3:23,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+2,mathega01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Clint Capela,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,capelca01
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,60,11,26,.423,4,13,.308,1,1,1.000,3,10,13,7,0,2,3,2,27,,,-9999
