Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,42:56,10,21,.476,3,11,.273,9,11,.818,0,2,2,12,1,0,9,1,32,21.1,+4,youngtr01
De'Andre Hunter,38:33,8,15,.533,6,11,.545,0,0,,1,9,10,5,2,0,3,2,22,19.8,+4,huntede01
Dyson Daniels,38:21,8,14,.571,1,2,.500,2,2,1.000,2,6,8,7,2,0,2,2,19,19.7,+5,daniedy01
Onyeka Okongwu,30:47,13,16,.813,3,5,.600,1,2,.500,4,8,12,5,0,1,1,2,30,31.2,+12,okongon01
Zaccharie Risacher,23:16,3,8,.375,0,3,.000,0,0,,0,1,1,0,0,0,0,3,6,0.7,0,risacza01
Vit Krejci,18:53,2,4,.500,1,2,.500,0,0,,1,4,5,2,0,0,3,1,5,2.9,-6,krejcvi01
Larry Nance Jr.,17:13,0,1,.000,0,1,.000,1,2,.500,0,3,3,1,0,0,0,1,1,1.1,-13,nancela02
Keaton Wallace,11:54,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,1,1,1,5,3.0,+3,wallake01
Dominick Barlow,10:56,2,6,.333,1,2,.500,0,1,.000,0,3,3,0,0,3,0,1,5,3.8,-6,barlodo01
Garrison Mathews,7:11,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,1,0,0,-2.1,-8,mathega01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,240,48,91,.527,16,42,.381,13,18,.722,8,37,45,33,5,5,20,14,125,,,-9999
