Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,8:39,0,1,.000,0,0,,0,2,.000,1,1,2,3,2,2,2,0,0,3.0,-2,daniedy01
Trae Young,7:58,2,3,.667,2,2,1.000,2,3,.667,0,0,0,2,0,0,0,0,8,7.7,-1,youngtr01
De'Andre Hunter,8:39,5,7,.714,2,4,.500,0,0,,0,0,0,0,0,0,0,0,12,9.1,-2,huntede01
Onyeka Okongwu,6:18,2,3,.667,0,1,.000,1,1,1.000,0,1,1,0,0,1,0,0,5,4.7,-2,okongon01
Zaccharie Risacher,7:32,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,0,2,2.7,+3,risacza01
Vit Krejci,4:28,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,-4,krejcvi01
Larry Nance Jr.,5:42,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.2,+1,nancela02
Keaton Wallace,4:02,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,1,1,2,1.3,0,wallake01
Garrison Mathews,3:21,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,+1,mathega01
Dominick Barlow,3:21,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+1,barlodo01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,60,12,23,.522,5,11,.455,5,8,.625,2,6,8,8,3,3,3,3,34,,,-9999
