Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,38:09,5,12,.417,1,4,.250,5,8,.625,1,3,4,4,0,0,11,2,16,1.0,-28,youngtr01
Vit Krejci,35:19,6,13,.462,6,11,.545,2,4,.500,0,2,2,7,3,2,0,2,20,21.6,-16,krejcvi01
Dyson Daniels,34:18,6,11,.545,1,2,.500,0,1,.000,1,5,6,6,5,0,4,5,13,12.7,-18,daniedy01
Onyeka Okongwu,28:55,7,10,.700,1,2,.500,4,5,.800,2,6,8,5,4,1,2,3,19,22.6,-16,okongon01
Larry Nance Jr.,20:27,2,10,.200,0,4,.000,0,0,,1,3,4,1,0,0,1,1,4,-1.3,-11,nancela02
Bogdan Bogdanović,26:23,2,12,.167,0,6,.000,0,0,,2,4,6,2,1,1,1,2,4,0.3,-16,bogdabo01
Garrison Mathews,25:03,1,5,.200,1,5,.200,0,0,,0,4,4,2,1,0,2,2,3,0.7,-6,mathega01
Clint Capela,13:55,2,5,.400,0,0,,1,1,1.000,1,3,4,0,0,0,1,2,5,2.1,-9,capelca01
Daeqwon Plowden,7:28,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,1,5,3.9,+3,plowdda01
David Roddy,7:22,1,3,.333,0,0,,2,2,1.000,0,3,3,1,0,1,0,0,4,4.6,-3,roddyda01
Dominick Barlow,2:41,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,+5,barlodo01
Zaccharie Risacher,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,risacza01
Team Totals,240,33,84,.393,11,37,.297,17,25,.680,8,35,43,28,14,5,24,20,94,,,-9999
