Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Bub Carrington,7:55,1,1,1.000,0,0,,0,0,,0,2,2,2,0,0,1,0,2,2.7,-4,carrica01
Bilal Coulibaly,9:11,1,6,.167,1,3,.333,0,0,,0,1,1,0,1,0,0,0,3,0.5,+6,coulibi01
Jordan Poole,9:11,2,6,.333,0,3,.000,0,0,,0,1,1,2,0,0,1,2,4,0.5,+6,poolejo01
Richaun Holmes,6:13,0,2,.000,0,0,,2,2,1.000,1,3,4,1,0,0,0,0,2,2.9,+2,holmeri01
Justin Champagnie,9:45,4,5,.800,0,0,,2,2,1.000,1,2,3,0,0,0,1,1,10,8.0,+1,champju01
Corey Kispert,6:54,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,0.2,+6,kispeco01
Malcolm Brogdon,5:04,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,2.3,+1,brogdma01
Tristan Vukcevic,5:47,2,2,1.000,0,0,,1,2,.500,3,2,5,1,1,0,1,0,5,7.4,+2,vukcetr01
AJ Johnson,,,,,,,,,,,,,,,,,,,,,,-9999
Jaylen Martin,,,,,,,,,,,,,,,,,,,,,,-9999
Kyshawn George,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,georgky01
Alex Sarr,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,sarral01
Team Totals,60,11,25,.440,1,8,.125,7,8,.875,5,14,19,7,2,0,5,4,30,,,-9999
