Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Miles Bridges,6:53,2,6,.333,2,4,.500,0,0,,0,0,0,0,0,0,0,0,6,2.6,-9,bridgmi02
Nick Richards,5:55,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-6,richani01
LaMelo Ball,5:55,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,3,2,0,-2.4,-6,ballla01
Seth Curry,6:10,2,6,.333,2,4,.500,0,0,,2,2,4,0,1,0,1,1,6,4.2,-6,curryse01
Cody Martin,6:01,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,-6,martico01
Grant Williams,5:07,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,willigr01
Tre Mann,5:50,1,6,.167,0,2,.000,0,0,,0,0,0,0,0,0,2,1,2,-4.2,-6,manntr01
Vasilije Micić,5:59,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,1,0,2,1.0,-6,micicva01
Josh Green,6:05,0,1,.000,0,0,,0,0,,0,0,0,1,1,1,0,0,0,1.7,-6,greenjo02
Moussa Diabaté,6:05,0,1,.000,0,0,,0,2,.000,1,3,4,0,0,0,0,1,0,-0.3,-6,diabamo01
Taj Gibson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gibsota01
Tidjane Salaün,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,salauti01
KJ Simpson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,simpskj01
Nick Smith Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,smithni01
Team Totals,60,6,25,.240,4,12,.333,0,2,.000,5,8,13,5,2,1,7,5,16,,,-9999
