Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Fred VanVleet,8:37,1,5,.200,1,5,.200,0,0,,0,1,1,1,0,0,0,0,3,0.9,-3,vanvlfr01
Jalen Green,9:12,0,4,.000,0,1,.000,0,0,,0,3,3,0,0,0,2,1,0,-4.3,-7,greenja05
Dillon Brooks,8:37,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,5,3.0,-3,brookdi01
Amen Thompson,8:37,0,0,,0,0,,2,2,1.000,0,1,1,0,1,0,0,1,2,2.9,-3,thompam01
Alperen Şengün,8:37,3,4,.750,0,1,.000,0,0,,0,1,1,0,1,0,0,1,6,5.3,-3,sengual01
Jae'Sean Tate,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,tateja01
Cam Whitmore,6:11,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,0,2,1.6,0,whitmca01
Aaron Holiday,3:23,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,0,0,2,2.7,-2,holidaa01
Jock Landale,3:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,-2,landajo01
Steven Adams,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,adamsst01
Tari Eason,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,easonta01
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,greenje02
Reed Sheppard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,sheppre01
Jabari Smith Jr.,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,smithja05
Jeenathan Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,willije02
Team Totals,60,8,19,.421,2,9,.222,4,4,1.000,0,10,10,2,2,2,4,4,22,,,-9999
