Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Franz Wagner,7:57,4,8,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,9,6.0,+4,wagnefr01
Kentavious Caldwell-Pope,7:15,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.8,-2,caldwke01
Paolo Banchero,7:57,0,1,.000,0,0,,4,4,1.000,0,1,1,0,0,1,2,1,4,1.9,-5,banchpa01
Cole Anthony,7:15,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0.0,-2,anthoco01
Goga Bitadze,5:10,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,+2,bitadgo01
Anthony Black,4:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-1,blackan01
Jonathan Isaac,4:03,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,2.2,+2,isaacjo01
Wendell Carter Jr.,4:03,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,1,0,2,0.2,-7,cartewe01
Tristan Da Silva,4:45,1,2,.500,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,0,4,3.7,-1,dasiltr01
Gary Harris,6:50,0,1,.000,0,1,.000,0,0,,1,0,1,1,1,0,0,0,0,1.7,-5,harriga01
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,houstca01
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,howarje01
Cory Joseph,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,josepco01
Trevelin Queen,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,queentr01
Team Totals,60,7,19,.368,2,7,.286,6,8,.750,2,7,9,4,3,1,5,3,22,,,-9999
