Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
De'Aaron Fox,8:05,2,4,.500,2,3,.667,0,0,,0,1,1,3,0,0,0,0,6,6.4,+5,foxde01
Devin Vassell,8:44,4,5,.800,1,2,.500,0,0,,0,1,1,1,2,0,0,1,9,9.7,+7,vassede01
Victor Wembanyama,6:40,1,2,.500,1,1,1.000,1,2,.500,0,2,2,0,0,0,0,1,4,2.8,+2,wembavi01
Chris Paul,6:33,1,1,1.000,1,1,1.000,0,0,,0,1,1,4,0,0,1,0,3,4.8,+4,paulch01
Harrison Barnes,7:08,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.0,+4,barneha02
Jeremy Sochan,6:59,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,3.0,+8,sochaje01
Julian Champagnie,5:32,1,2,.500,1,2,.500,0,0,,0,1,1,0,2,1,0,0,3,5.0,+8,champju02
Stephon Castle,5:27,1,4,.250,0,2,.000,2,2,1.000,0,1,1,3,0,0,0,0,4,4.0,+6,castlst01
Keldon Johnson,4:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+6,johnske04
Malaki Branham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,branhma01
David Duke Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dukeda01
Harrison Ingram,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,ingraha01
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mamuksa01
Jordan McLaughlin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mclaujo01
Blake Wesley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,weslebl01
Team Totals,60,13,23,.565,6,12,.500,3,4,.750,0,9,9,11,5,1,1,2,35,,,-9999
