Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:46,0,5,.000,0,2,.000,0,0,,0,1,1,2,0,0,1,0,0,-2.8,-3,youngtr01
Dyson Daniels,9:17,3,4,.750,0,0,,2,4,.500,0,0,0,0,2,0,1,1,8,6.2,-3,daniedy01
Zaccharie Risacher,8:51,2,3,.667,0,1,.000,0,0,,0,0,0,0,1,0,0,0,4,3.7,-5,risacza01
Onyeka Okongwu,7:48,3,5,.600,0,1,.000,0,0,,2,2,4,1,1,0,1,1,6,6.0,-3,okongon01
Dominick Barlow,9:12,2,3,.667,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,0,6,5.7,-1,barlodo01
Caris LeVert,5:57,0,4,.000,0,3,.000,0,0,,0,1,1,2,1,0,1,1,0,-1.5,-6,leverca01
Terance Mann,5:57,0,1,.000,0,0,,0,0,,2,0,2,1,0,1,0,1,0,1.7,-6,mannte01
Clint Capela,4:12,1,2,.500,0,0,,2,4,.500,2,0,2,0,1,0,0,0,4,4.6,-3,capelca01
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,,-9999
Keaton Wallace,,,,,,,,,,,,,,,,,,,,,,-9999
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
Kevon Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,harrike01
Team Totals,60,11,27,.407,0,8,.000,6,10,.600,7,5,12,6,6,1,4,4,28,,,-9999
