Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,7:57,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,1,0,3,0,1,-1.4,-4,youngtr01
Dyson Daniels,9:13,1,3,.333,0,0,,0,0,,0,2,2,1,1,1,0,0,2,3.3,+5,daniedy01
Onyeka Okongwu,6:28,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,4,3.6,+2,okongon01
Zaccharie Risacher,5:10,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2.0,-2,risacza01
Mouhamed Gueye,6:28,2,4,.500,2,3,.667,1,2,.500,0,0,0,2,0,0,1,1,7,4.6,+2,gueyemo02
Caris LeVert,6:50,1,2,.500,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,4,3.6,+5,leverca01
Georges Niang,5:32,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,2,3,2.1,+1,niangge01
Larry Nance Jr.,5:32,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,+1,nancela02
Vit Krejci,4:03,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,0.7,+7,krejcvi01
Terance Mann,2:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,mannte01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,9,18,.500,3,9,.333,4,6,.667,0,11,11,7,3,1,4,4,25,,,-9999
