Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:47,2,4,.500,1,1,1.000,2,3,.667,0,0,0,1,0,0,2,0,7,3.3,+5,youngtr01
Dyson Daniels,8:36,2,4,.500,0,0,,3,4,.750,2,0,2,0,2,0,0,0,7,8.0,+15,daniedy01
Onyeka Okongwu,8:36,2,6,.333,0,2,.000,2,3,.667,1,3,4,1,0,1,0,1,6,4.8,+15,okongon01
Zaccharie Risacher,8:09,2,7,.286,1,1,1.000,0,0,,4,2,6,0,0,0,0,0,5,4.3,+13,risacza01
Mouhamed Gueye,5:23,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,1,2,2.6,+8,gueyemo02
Caris LeVert,6:37,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,+4,leverca01
Georges Niang,6:37,1,2,.500,1,1,1.000,0,0,,0,4,4,2,0,0,0,0,3,4.6,+4,niangge01
Terance Mann,3:51,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,1.3,-1,mannte01
Clint Capela,3:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,capelca01
Dominick Barlow,,,,,,,,,,,,,,,,,,,,,,-9999
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,11,25,.440,4,6,.667,7,10,.700,7,13,20,4,2,2,3,5,33,,,-9999
