Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,8:51,2,3,.667,0,1,.000,0,0,,0,0,0,4,0,0,1,0,4,4.5,-10,youngtr01
Dyson Daniels,8:27,3,4,.750,2,2,1.000,0,0,,0,0,0,1,1,0,2,1,8,5.7,-11,daniedy01
Onyeka Okongwu,6:29,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,1,2,1.9,-8,okongon01
Zaccharie Risacher,8:27,1,5,.200,0,2,.000,1,2,.500,1,0,1,0,0,0,0,0,3,0.2,-11,risacza01
Dominick Barlow,5:18,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,1,0,0,2,1.3,-5,barlodo01
De'Andre Hunter,6:42,0,0,,0,0,,1,2,.500,0,2,2,1,0,0,1,0,1,0.9,-11,huntede01
Garrison Mathews,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-1,mathega01
Larry Nance Jr.,5:31,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-8,nancela02
Vit Krejci,3:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,krejcvi01
Keaton Wallace,5:28,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,2.7,-10,wallake01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Team Totals,60,10,22,.455,2,9,.222,2,4,.500,1,6,7,8,2,1,5,3,24,,,-9999
